Node,OBJECTID,Type,Valley_length,Shape_Area,Avg_width,Canyon,InitialBc,Avg_Ch_Length,Avg_Sinuosity,Slope,
0,9,Floodplain,236.8107778,5926.793108,25.0275478,1,14.4,238.2386,1.00602938,0.022,
1,10,Floodplain,679.8186797,122100.1299,179.6069031,1,50.6,730.9933,1.075276867,0.0081,
2,11,Floodplain,592.0250967,24408.52244,41.2288628,1,32.5,663.0479,1.119965866,0.015,
3,12,Floodplain,736.6570107,250227.8455,339.6802673,0,111,778.5397,1.056855075,0.0081,
4,13,Floodplain,661.9800326,262541.3851,396.6001587,0,111,730.6172,1.103684649,0.0081,
5,14,Floodplain,871.1555134,455527.0719,522.8998413,0,111,918.3505,1.054175157,0.0081,
6,15,Floodplain,616.4095424,115513.1717,187.3967896,0,111,790.4752,1.282386377,0.0081,
7,16,Floodplain,686.3925105,345927.9658,503.9797974,0,81,734.8081,1.070536302,0.0069,
8,17,Floodplain,538.1872439,270362.3909,502.3574829,0,81,587.0499,1.090791182,0.0069,
9,18,Floodplain,704.4373534,253991.939,360.5599976,0,81,717.8204,1.018998207,0.0069,
10,19,Floodplain,704.435168,252029.8858,357.7758484,0,81,671.0803,0.952650195,0.0069,
11,20,Floodplain,222.5169863,13610.55872,61.1663818,1,28,235.4775,1.058245053,0.0069,
12,21,Floodplain,574.1305863,197487.2093,343.9761047,0,81,608.0134,1.059015866,0.0069,
13,8,Floodplain,646.5246039,216124.2279,334.2861633,0,81,667.9667,1.033165166,0.0069,
14,2,Floodplain,653.2347851,278802.8438,426.8034363,0,81,0,1.07012681,0.0069,*Aldwell sinuosities are average of MR
15,3,Floodplain,502.3686693,259143.7451,515.84375,0,81,0,1.07012681,0.0069,
16,4,Floodplain,614.3620531,269861.0973,439.2541809,0,81,0,1.07012681,0.0069,
17,5,Floodplain,502.5378799,158983.6764,316.3615723,0,81,0,1.07012681,0.0069,
18,6,Floodplain,819.3577774,75480.62131,92.1216888,1,81,0,1.07012681,0.0069,
19,1,Floodplain,741.4889648,155295.2927,209.437088,0,81,0,1.07012681,0.0069,
20,7,Floodplain,796.6101029,150781.2033,189.2785492,0,81,0,1.07012681,0.0069,
